metric average std
find 173.605482875 224.4189694551252
ior-easy-read 14.194097 0.38334093051113516
ior-easy-write 11.023132125 0.03459432859562557
ior-hard-read 5.67148675 1.488066146890535
ior-hard-write 0.620435 0.3243793039426001
mdtest-easy-delete 17.384567625000003 2.3435090604173623
mdtest-easy-stat 18.607183375 0.8828262725553571
mdtest-easy-write 13.429983 5.867723798528644
mdtest-hard-delete 8.14492675 0.9483503324234364
mdtest-hard-read 43.731508000000005 10.696102105132612
mdtest-hard-stat 14.42524 3.7749737182122014
mdtest-hard-write 7.87912 2.794437227128006
