access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.5093433142e+01,6.5074595213e+01,8.5908384458e+06,8.5933253395e+06
read,1,6.5093432903e+01,6.5074810028e+01,8.5908384772e+06,8.5932969725e+06
read,2,6.5093459845e+01,6.5074728012e+01,8.5908349216e+06,8.5933078029e+06
read,3,6.5093443155e+01,6.5074721098e+01,8.5908371242e+06,8.5933087160e+06
read,4,6.5093451977e+01,6.5074695826e+01,8.5908359600e+06,8.5933120533e+06
read,5,6.5093438148e+01,6.5074756145e+01,8.5908377850e+06,8.5933040878e+06
read,6,6.5093513966e+01,6.5074695110e+01,8.5908277789e+06,8.5933121477e+06
read,7,6.5093449116e+01,6.5074773073e+01,8.5908363375e+06,8.5933018525e+06
read,8,6.5093436003e+01,6.5074783087e+01,8.5908380682e+06,8.5933005302e+06
read,9,6.5093442917e+01,6.5074701071e+01,8.5908371557e+06,8.5933113606e+06
read,10,6.5093460083e+01,6.5074642897e+01,8.5908348901e+06,8.5933190427e+06
read,11,6.5093440056e+01,6.5074764967e+01,8.5908375332e+06,8.5933029229e+06
read,12,6.5093440056e+01,6.5074754000e+01,8.5908375332e+06,8.5933043712e+06
read,13,6.5093470097e+01,6.5074733019e+01,8.5908335686e+06,8.5933071418e+06
read,14,6.5093539000e+01,6.5074742794e+01,8.5908244750e+06,8.5933058509e+06
read,15,6.5094005108e+01,6.5074720860e+01,8.5907629600e+06,8.5933087474e+06
read,16,6.5093436003e+01,6.5074712992e+01,8.5908380682e+06,8.5933097864e+06
read,17,6.5093439102e+01,6.5074695826e+01,8.5908376591e+06,8.5933120533e+06
read,18,6.5093463898e+01,6.5074757099e+01,8.5908343867e+06,8.5933039619e+06
read,19,6.5093497992e+01,6.5074780941e+01,8.5908298871e+06,8.5933008135e+06
read,20,6.5093442202e+01,6.5074764013e+01,8.5908372501e+06,8.5933030489e+06
read,21,6.5093438864e+01,6.5074787855e+01,8.5908376906e+06,8.5932999005e+06
read,22,6.5093441010e+01,6.5074702024e+01,8.5908374074e+06,8.5933112347e+06
read,23,6.5093442917e+01,6.5074769020e+01,8.5908371557e+06,8.5933023877e+06
read,24,6.5093444109e+01,6.5074743986e+01,8.5908369983e+06,8.5933056935e+06
read,25,6.5093478203e+01,6.5074785948e+01,8.5908324987e+06,8.5933001524e+06
read,26,6.5093542814e+01,6.5074720144e+01,8.5908239715e+06,8.5933088419e+06
read,27,6.5093473911e+01,6.5074789047e+01,8.5908330651e+06,8.5932997431e+06
read,28,6.5093494892e+01,6.5074715853e+01,8.5908302961e+06,8.5933094086e+06
read,29,6.5093441010e+01,6.5074790001e+01,8.5908374074e+06,8.5932996171e+06
read,30,6.5093534946e+01,6.5074738979e+01,8.5908250099e+06,8.5933063547e+06
read,31,6.5093528986e+01,6.5074784040e+01,8.5908257965e+06,8.5933004042e+06
read,32,6.5093442917e+01,6.5074629068e+01,8.5908371557e+06,8.5933208688e+06
read,33,6.5093487978e+01,6.5074817896e+01,8.5908312086e+06,8.5932959335e+06
read,34,6.5093533039e+01,6.5074787140e+01,8.5908252616e+06,8.5932999949e+06
read,35,6.5093511820e+01,6.5074819088e+01,8.5908280621e+06,8.5932957761e+06
read,36,6.5093461037e+01,6.5074618816e+01,8.5908347643e+06,8.5933222226e+06
read,37,6.5093528032e+01,6.5074719906e+01,8.5908259224e+06,8.5933088734e+06
read,38,6.5093557119e+01,6.5074620962e+01,8.5908220836e+06,8.5933219392e+06
read,39,6.5093528986e+01,6.5074736118e+01,8.5908257965e+06,8.5933067325e+06
read,40,6.5093505859e+01,6.5074628115e+01,8.5908288487e+06,8.5933209947e+06
read,41,6.5093535900e+01,6.5074732065e+01,8.5908248840e+06,8.5933072677e+06
read,42,6.5093536139e+01,6.5074629068e+01,8.5908248526e+06,8.5933208688e+06
read,43,6.5093554974e+01,6.5074723959e+01,8.5908223668e+06,8.5933083382e+06
read,44,6.5093542099e+01,6.5074630022e+01,8.5908240659e+06,8.5933207428e+06
read,45,6.5093551874e+01,6.5074732065e+01,8.5908227758e+06,8.5933072677e+06
read,46,6.5093870878e+01,6.5074630976e+01,8.5907806750e+06,8.5933206169e+06
read,47,6.5093524933e+01,6.5074744225e+01,8.5908263314e+06,8.5933056620e+06
read,48,6.5093461037e+01,6.5074616909e+01,8.5908347643e+06,8.5933224744e+06
read,49,6.5093493223e+01,6.5074670076e+01,8.5908305164e+06,8.5933154535e+06
read,50,6.5093517065e+01,6.5074616909e+01,8.5908273698e+06,8.5933224744e+06
read,51,6.5093513012e+01,6.5074725866e+01,8.5908279047e+06,8.5933080863e+06
read,52,6.5093464136e+01,6.5074615002e+01,8.5908343552e+06,8.5933227263e+06
read,53,6.5093538046e+01,6.5074666977e+01,8.5908246008e+06,8.5933158628e+06
read,54,6.5093494177e+01,6.5074617863e+01,8.5908303905e+06,8.5933223485e+06
read,55,6.5093526840e+01,6.5074684143e+01,8.5908260797e+06,8.5933135960e+06
read,56,6.5093466997e+01,6.5074617863e+01,8.5908339776e+06,8.5933223485e+06
read,57,6.5093466043e+01,6.5074651003e+01,8.5908341035e+06,8.5933179722e+06
read,58,6.5093540907e+01,6.5074616909e+01,8.5908242232e+06,8.5933224744e+06
