access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.2308281493e+02,2.2305250788e+02,2.6735812392e+07,2.6739445096e+07
read,1,2.2308633804e+02,2.2305259705e+02,2.6735390165e+07,2.6739434407e+07
read,2,2.2308493495e+02,2.2305250692e+02,2.6735558317e+07,2.6739445211e+07
read,3,2.2308193111e+02,2.2305256295e+02,2.6735918316e+07,2.6739438494e+07
read,4,2.2308345413e+02,2.2305250716e+02,2.6735735786e+07,2.6739445182e+07
read,5,2.2308202600e+02,2.2305259395e+02,2.6735906943e+07,2.6739434778e+07
read,6,2.2308732796e+02,2.2305250812e+02,2.6735271531e+07,2.6739445068e+07
read,7,2.2308202791e+02,2.2305260611e+02,2.6735906715e+07,2.6739433321e+07
read,8,2.2308971214e+02,2.2305251598e+02,2.6734985808e+07,2.6739444125e+07
read,9,2.2308916998e+02,2.2305256414e+02,2.6735050781e+07,2.6739438351e+07
read,10,2.2308347106e+02,2.2305251098e+02,2.6735733758e+07,2.6739444725e+07
read,11,2.2308296418e+02,2.2305266905e+02,2.6735794505e+07,2.6739425775e+07
read,12,2.2308336186e+02,2.2305257320e+02,2.6735746844e+07,2.6739437265e+07
read,13,2.2308909416e+02,2.2305264711e+02,2.6735059867e+07,2.6739428405e+07
read,14,2.2308701110e+02,2.2305255818e+02,2.6735309504e+07,2.6739439066e+07
read,15,2.2308214378e+02,2.2305263305e+02,2.6735892828e+07,2.6739430091e+07
read,16,2.2308444285e+02,2.2305251288e+02,2.6735617292e+07,2.6739444496e+07
read,17,2.2308202600e+02,2.2305259919e+02,2.6735906943e+07,2.6739434150e+07
read,18,2.2308415103e+02,2.2305250978e+02,2.6735652266e+07,2.6739444868e+07
read,19,2.2308863497e+02,2.2305264401e+02,2.6735114897e+07,2.6739428776e+07
read,20,2.2308440614e+02,2.2305255795e+02,2.6735621693e+07,2.6739439094e+07
read,21,2.2308577585e+02,2.2305261707e+02,2.6735457540e+07,2.6739432006e+07
read,22,2.2308284903e+02,2.2305252194e+02,2.6735808306e+07,2.6739443410e+07
read,23,2.2308701801e+02,2.2305263615e+02,2.6735308675e+07,2.6739429720e+07
read,24,2.2308350182e+02,2.2305256605e+02,2.6735730072e+07,2.6739438123e+07
read,25,2.2308774710e+02,2.2305260205e+02,2.6735221300e+07,2.6739433807e+07
read,26,2.2308873296e+02,2.2305256414e+02,2.6735103153e+07,2.6739438351e+07
read,27,2.2308404088e+02,2.2305267000e+02,2.6735665467e+07,2.6739425661e+07
read,28,2.2308821702e+02,2.2305252600e+02,2.6735164984e+07,2.6739442924e+07
read,29,2.2309023595e+02,2.2305256796e+02,2.6734923035e+07,2.6739437894e+07
read,30,2.2308625293e+02,2.2305252314e+02,2.6735400365e+07,2.6739443267e+07
read,31,2.2308904409e+02,2.2305261898e+02,2.6735065867e+07,2.6739431777e+07
read,32,2.2308633804e+02,2.2305251098e+02,2.6735390165e+07,2.6739444725e+07
read,33,2.2308205009e+02,2.2305264497e+02,2.6735904057e+07,2.6739428662e+07
read,34,2.2308516002e+02,2.2305251479e+02,2.6735531344e+07,2.6739444268e+07
read,35,2.2308192897e+02,2.2305264401e+02,2.6735918573e+07,2.6739428776e+07
read,36,2.2308573794e+02,2.2305256605e+02,2.6735462083e+07,2.6739438123e+07
read,37,2.2308162689e+02,2.2305263782e+02,2.6735954776e+07,2.6739429519e+07
read,38,2.2308853698e+02,2.2305253100e+02,2.6735126640e+07,2.6739442324e+07
read,39,2.2308163786e+02,2.2305264688e+02,2.6735953462e+07,2.6739428433e+07
read,40,2.2308345413e+02,2.2305256891e+02,2.6735735786e+07,2.6739437780e+07
read,41,2.2308815598e+02,2.2305261898e+02,2.6735172298e+07,2.6739431777e+07
read,42,2.2308834505e+02,2.2305254006e+02,2.6735149641e+07,2.6739441238e+07
read,43,2.2308155513e+02,2.2305259705e+02,2.6735963377e+07,2.6739434407e+07
read,44,2.2308385587e+02,2.2305257201e+02,2.6735687640e+07,2.6739437408e+07
