access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,2.2473756886e+02,2.2468254113e+02,2.6538955273e+07,2.6545455014e+07
read,1,2.2473604989e+02,2.2468262196e+02,2.6539134647e+07,2.6545445465e+07
read,2,2.2473805594e+02,2.2468253613e+02,2.6538897753e+07,2.6545455605e+07
read,3,2.2473842096e+02,2.2468262601e+02,2.6538854649e+07,2.6545444986e+07
read,4,2.2473509598e+02,2.2468254018e+02,2.6539247295e+07,2.6545455126e+07
read,5,2.2473353100e+02,2.2468262506e+02,2.6539432107e+07,2.6545445099e+07
read,6,2.2473920083e+02,2.2468253613e+02,2.6538762557e+07,2.6545455605e+07
read,7,2.2472434807e+02,2.2468266010e+02,2.6540516590e+07,2.6545440958e+07
read,8,2.2473398399e+02,2.2468253398e+02,2.6539378611e+07,2.6545455859e+07
read,9,2.2473356509e+02,2.2468258405e+02,2.6539428080e+07,2.6545449943e+07
read,10,2.2474023294e+02,2.2468253493e+02,2.6538640678e+07,2.6545455746e+07
read,11,2.2473994708e+02,2.2468259192e+02,2.6538674435e+07,2.6545449014e+07
read,12,2.2473590088e+02,2.2468254614e+02,2.6539152243e+07,2.6545454422e+07
read,13,2.2473962593e+02,2.2468261600e+02,2.6538712358e+07,2.6545446169e+07
read,14,2.2473393703e+02,2.2468254113e+02,2.6539384158e+07,2.6545455014e+07
read,15,2.2472453189e+02,2.2468259501e+02,2.6540494880e+07,2.6545448648e+07
read,16,2.2473495102e+02,2.2468253708e+02,2.6539264413e+07,2.6545455493e+07
read,17,2.2473312497e+02,2.2468258715e+02,2.6539480056e+07,2.6545449577e+07
read,18,2.2473392987e+02,2.2468253303e+02,2.6539385002e+07,2.6545455972e+07
read,19,2.2473604488e+02,2.2468266606e+02,2.6539135238e+07,2.6545440254e+07
read,20,2.2473721504e+02,2.2468253899e+02,2.6538997054e+07,2.6545455267e+07
read,21,2.2473305702e+02,2.2468265796e+02,2.6539488080e+07,2.6545441211e+07
read,22,2.2473856115e+02,2.2468253613e+02,2.6538838094e+07,2.6545455605e+07
read,23,2.2473430514e+02,2.2468265224e+02,2.6539340686e+07,2.6545441887e+07
read,24,2.2473987794e+02,2.2468254089e+02,2.6538682599e+07,2.6545455042e+07
read,25,2.2473297191e+02,2.2468266702e+02,2.6539498131e+07,2.6545440141e+07
read,26,2.2473345208e+02,2.2468253517e+02,2.6539441426e+07,2.6545455718e+07
read,27,2.2473488498e+02,2.2468265200e+02,2.6539272212e+07,2.6545441916e+07
read,28,2.2473447609e+02,2.2468254113e+02,2.6539320498e+07,2.6545455014e+07
read,29,2.2473305988e+02,2.2468267322e+02,2.6539487742e+07,2.6545439409e+07
read,30,2.2473650694e+02,2.2468253994e+02,2.6539080674e+07,2.6545455155e+07
read,31,2.2473463106e+02,2.2468267608e+02,2.6539302198e+07,2.6545439071e+07
read,32,2.2473334813e+02,2.2468254495e+02,2.6539453702e+07,2.6545454563e+07
read,33,2.2473723698e+02,2.2468266106e+02,2.6538994464e+07,2.6545440845e+07
read,34,2.2473898697e+02,2.2468254089e+02,2.6538787811e+07,2.6545455042e+07
read,35,2.2473648214e+02,2.2468266606e+02,2.6539083602e+07,2.6545440254e+07
read,36,2.2474054003e+02,2.2468366289e+02,2.6538604416e+07,2.6545322482e+07
read,37,2.2473344707e+02,2.2468370891e+02,2.6539442017e+07,2.6545317046e+07
read,38,2.2473713493e+02,2.2468366098e+02,2.6539006514e+07,2.6545322708e+07
read,39,2.2473403811e+02,2.2468367314e+02,2.6539372220e+07,2.6545321271e+07
read,40,2.2473803997e+02,2.2468366694e+02,2.6538899640e+07,2.6545322004e+07
read,41,2.2473304701e+02,2.2468367720e+02,2.6539489262e+07,2.6545320792e+07
read,42,2.2474005699e+02,2.2468366194e+02,2.6538661456e+07,2.6545322595e+07
read,43,2.2474071193e+02,2.2468367505e+02,2.6538584117e+07,2.6545321046e+07
read,44,2.2473385310e+02,2.2468369699e+02,2.6539394069e+07,2.6545318454e+07
read,45,2.2473816490e+02,2.2468461609e+02,2.6538884887e+07,2.6545209867e+07
read,46,2.2473600793e+02,2.2468369293e+02,2.6539139602e+07,2.6545318933e+07
read,47,2.2473288298e+02,2.2468370795e+02,2.6539508634e+07,2.6545317159e+07
read,48,2.2473415685e+02,2.2468371606e+02,2.6539358198e+07,2.6545316201e+07
read,49,2.2473383808e+02,2.2468373418e+02,2.6539395842e+07,2.6545314060e+07
read,50,2.2473556399e+02,2.2468374586e+02,2.6539192026e+07,2.6545312680e+07
read,51,2.2473982215e+02,2.2468375492e+02,2.6538689187e+07,2.6545311610e+07
read,52,2.2473360896e+02,2.2468371606e+02,2.6539422900e+07,2.6545316201e+07
read,53,2.2473390818e+02,2.2468374205e+02,2.6539387565e+07,2.6545313131e+07
read,54,2.2473863101e+02,2.2468371987e+02,2.6538829845e+07,2.6545315750e+07
read,55,2.2472438002e+02,2.2468377805e+02,2.6540512816e+07,2.6545308877e+07
read,56,2.2473999405e+02,2.2468371892e+02,2.6538668888e+07,2.6545315863e+07
read,57,2.2473498392e+02,2.2468374515e+02,2.6539260528e+07,2.6545312765e+07
read,58,2.2473326302e+02,2.2468376088e+02,2.6539463753e+07,2.6545310905e+07
read,59,2.2473777485e+02,2.2468376112e+02,2.6538930947e+07,2.6545310877e+07
read,60,2.2473550606e+02,2.2468376398e+02,2.6539198868e+07,2.6545310539e+07
read,61,2.2473416090e+02,2.2468377304e+02,2.6539357720e+07,2.6545309469e+07
read,62,2.2473988795e+02,2.2468372989e+02,2.6538681417e+07,2.6545314567e+07
read,63,2.2472464609e+02,2.2468377090e+02,2.6540481392e+07,2.6545309722e+07
read,64,2.2473737717e+02,2.2468371916e+02,2.6538977909e+07,2.6545315835e+07
read,65,2.2473550510e+02,2.2468373990e+02,2.6539198981e+07,2.6545313384e+07
read,66,2.2473796988e+02,2.2468377304e+02,2.6538907917e+07,2.6545309469e+07
read,67,2.2473750496e+02,2.2468375182e+02,2.6538962818e+07,2.6545311976e+07
read,68,2.2473488212e+02,2.2468375015e+02,2.6539272550e+07,2.6545312173e+07
read,69,2.2473310614e+02,2.2468379188e+02,2.6539482280e+07,2.6545307244e+07
read,70,2.2473501492e+02,2.2468375206e+02,2.6539256868e+07,2.6545311948e+07
read,71,2.2472463298e+02,2.2468377399e+02,2.6540482941e+07,2.6545309356e+07
read,72,2.2473739195e+02,2.2468372488e+02,2.6538976164e+07,2.6545315159e+07
read,73,2.2473423004e+02,2.2468391180e+02,2.6539349555e+07,2.6545293075e+07
read,74,2.2473523188e+02,2.2468368793e+02,2.6539231246e+07,2.6545319525e+07
read,75,2.2473500800e+02,2.2468383598e+02,2.6539257684e+07,2.6545302033e+07
read,76,2.2473422599e+02,2.2468371010e+02,2.6539350033e+07,2.6545316905e+07
read,77,2.2473636293e+02,2.2468379188e+02,2.6539097679e+07,2.6545307244e+07
read,78,2.2473623204e+02,2.2468370605e+02,2.6539113136e+07,2.6545317384e+07
read,79,2.2472464299e+02,2.2468393803e+02,2.6540481758e+07,2.6545289977e+07
read,80,2.2473381591e+02,2.2468368816e+02,2.6539398461e+07,2.6545319497e+07
read,81,2.2473332787e+02,2.2468379998e+02,2.6539456095e+07,2.6545306286e+07
read,82,2.2473930883e+02,2.2468374515e+02,2.6538749803e+07,2.6545312765e+07
