access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,71,2.8820757914e+02,2.8786213589e+02,2.0694460242e+07,2.0719294219e+07
write,72,2.8820838714e+02,2.8787238908e+02,2.0694402225e+07,2.0718556257e+07
write,73,2.8820807099e+02,2.8785778308e+02,2.0694424925e+07,2.0719607524e+07
write,74,2.8820901799e+02,2.8787460923e+02,2.0694356927e+07,2.0718396471e+07
write,75,2.8821024704e+02,2.8785683703e+02,2.0694268678e+07,2.0719675619e+07
write,76,2.8820962381e+02,2.8787471008e+02,2.0694313427e+07,2.0718389213e+07
write,77,2.8821053791e+02,2.8785351300e+02,2.0694247793e+07,2.0719914882e+07
write,78,2.8821012497e+02,2.8786977696e+02,2.0694277443e+07,2.0718744256e+07
write,79,2.8820941210e+02,2.8786205387e+02,2.0694328629e+07,2.0719300122e+07
write,80,2.8821061897e+02,2.8787433600e+02,2.0694241972e+07,2.0718416135e+07
write,81,2.8820852399e+02,2.8785422897e+02,2.0694392398e+07,2.0719863346e+07
write,82,2.8820850611e+02,2.8787436604e+02,2.0694393682e+07,2.0718413973e+07
write,83,2.8820929289e+02,2.8786128807e+02,2.0694337189e+07,2.0719355242e+07
write,84,2.8820989799e+02,2.8787490010e+02,2.0694293740e+07,2.0718375537e+07
write,85,2.8821024704e+02,2.8785399795e+02,2.0694268678e+07,2.0719879976e+07
write,86,2.8821017098e+02,2.8787474513e+02,2.0694274139e+07,2.0718386690e+07
write,87,2.8821010780e+02,2.8785805297e+02,2.0694278676e+07,2.0719588097e+07
write,88,2.8820719790e+02,2.8787438416e+02,2.0694487616e+07,2.0718412669e+07
write,89,2.8820785499e+02,2.8785735202e+02,2.0694440435e+07,2.0719638551e+07
write,90,2.8820776987e+02,2.8786940098e+02,2.0694446547e+07,2.0718771317e+07
write,91,2.8820910692e+02,2.8785403991e+02,2.0694350542e+07,2.0719876955e+07
write,92,2.8820694804e+02,2.8787061882e+02,2.0694505558e+07,2.0718683666e+07
write,93,2.8820851183e+02,2.8786185408e+02,2.0694393272e+07,2.0719314503e+07
write,94,2.8820712900e+02,2.8787151098e+02,2.0694492564e+07,2.0718619455e+07
write,95,2.8820769882e+02,2.8785360003e+02,2.0694451649e+07,2.0719908618e+07
write,96,2.8820765996e+02,2.8786971521e+02,2.0694454439e+07,2.0718748701e+07
write,97,2.8821036291e+02,2.8785361600e+02,2.0694260358e+07,2.0719907469e+07
write,98,2.8820929694e+02,2.8786971903e+02,2.0694336898e+07,2.0718748426e+07
write,99,2.8820889997e+02,2.8785408211e+02,2.0694365401e+07,2.0719873918e+07
write,100,2.8820753694e+02,2.8787397313e+02,2.0694463273e+07,2.0718442251e+07
write,101,2.8820997190e+02,2.8785380292e+02,2.0694288433e+07,2.0719894014e+07
write,102,2.8820820594e+02,2.8787051201e+02,2.0694415236e+07,2.0718691353e+07
write,103,2.8820990109e+02,2.8786012411e+02,2.0694293518e+07,2.0719439021e+07
write,104,2.8820984292e+02,2.8787027693e+02,2.0694297695e+07,2.0718708273e+07
write,105,2.8820827603e+02,2.8785457683e+02,2.0694410203e+07,2.0719838308e+07
write,106,2.8821036196e+02,2.8786956406e+02,2.0694260427e+07,2.0718759580e+07
write,107,2.8820778203e+02,2.8786203599e+02,2.0694445674e+07,2.0719301409e+07
write,108,2.8821012807e+02,2.8787079597e+02,2.0694277220e+07,2.0718670916e+07
write,109,2.8820892191e+02,2.8784588718e+02,2.0694363826e+07,2.0720463809e+07
write,110,2.8820968008e+02,2.8787208009e+02,2.0694309387e+07,2.0718578496e+07
write,111,2.8820789313e+02,2.8784487391e+02,2.0694437696e+07,2.0720536750e+07
write,112,2.8820718503e+02,2.8787337208e+02,2.0694488541e+07,2.0718485510e+07
write,113,2.8820801210e+02,2.8784420204e+02,2.0694429154e+07,2.0720585114e+07
write,114,2.8820799804e+02,2.8787396216e+02,2.0694430164e+07,2.0718443041e+07
write,115,2.8820968509e+02,2.8784411788e+02,2.0694309028e+07,2.0720591173e+07
write,116,2.8820992613e+02,2.8787386608e+02,2.0694291720e+07,2.0718449956e+07
write,117,2.8820962501e+02,2.8784439802e+02,2.0694313342e+07,2.0720571006e+07
write,118,2.8821011591e+02,2.8787121105e+02,2.0694278094e+07,2.0718641042e+07
write,119,2.8820834780e+02,2.8784430718e+02,2.0694405050e+07,2.0720577545e+07
write,120,2.8820853400e+02,2.8787061596e+02,2.0694391679e+07,2.0718683872e+07
write,121,2.8820726013e+02,2.8784416294e+02,2.0694483148e+07,2.0720587929e+07
write,122,2.8821049786e+02,2.8787484884e+02,2.0694250669e+07,2.0718379226e+07
write,123,2.8820726585e+02,2.8784436584e+02,2.0694482737e+07,2.0720573323e+07
write,124,2.8820718813e+02,2.8787000799e+02,2.0694488318e+07,2.0718727629e+07
write,125,2.8820822096e+02,2.8784419584e+02,2.0694414157e+07,2.0720585560e+07
write,126,2.8820719099e+02,2.8787017298e+02,2.0694488113e+07,2.0718715754e+07
write,127,2.8820975089e+02,2.8784407306e+02,2.0694304303e+07,2.0720594399e+07
write,128,2.8820735812e+02,2.8795550990e+02,2.0694476112e+07,2.0712575669e+07
write,129,2.8820892692e+02,2.8784023905e+02,2.0694363467e+07,2.0720870396e+07
write,130,2.8820867801e+02,2.8787315488e+02,2.0694381339e+07,2.0718501142e+07
write,131,2.8820861793e+02,2.8784430599e+02,2.0694385653e+07,2.0720577631e+07
write,132,2.8820718312e+02,2.8787098312e+02,2.0694488678e+07,2.0718657446e+07
write,133,2.8820917988e+02,2.8784413719e+02,2.0694345303e+07,2.0720589782e+07
write,134,2.8820759010e+02,2.8787043905e+02,2.0694459455e+07,2.0718696604e+07
write,135,2.8820975590e+02,2.8784411097e+02,2.0694303943e+07,2.0720591670e+07
write,136,2.8821013093e+02,2.8787273908e+02,2.0694277015e+07,2.0718531067e+07
write,137,2.8820876217e+02,2.8784408998e+02,2.0694375296e+07,2.0720593181e+07
write,138,2.8820847487e+02,2.8787484622e+02,2.0694395925e+07,2.0718379415e+07
write,139,2.8820944905e+02,2.8784409404e+02,2.0694325976e+07,2.0720592889e+07
write,140,2.8821012092e+02,2.8787348795e+02,2.0694277734e+07,2.0718477170e+07
write,141,2.8821001601e+02,2.8784406495e+02,2.0694285266e+07,2.0720594983e+07
write,142,2.8820791411e+02,2.8787248611e+02,2.0694436190e+07,2.0718549273e+07
write,143,2.8820828295e+02,2.8784428406e+02,2.0694409706e+07,2.0720579210e+07
write,144,2.8821061087e+02,2.8787776184e+02,2.0694242554e+07,2.0718169580e+07
write,145,2.8820812893e+02,2.8786834598e+02,2.0694420765e+07,2.0718847249e+07
write,146,2.8820765281e+02,2.8787497592e+02,2.0694454953e+07,2.0718370080e+07
write,147,2.8821029592e+02,2.8786773205e+02,2.0694265169e+07,2.0718891435e+07
write,148,2.8820848107e+02,2.8787233520e+02,2.0694395480e+07,2.0718560135e+07
write,149,2.8820887709e+02,2.8786092806e+02,2.0694367045e+07,2.0719381155e+07
write,150,2.8820848203e+02,2.8787785912e+02,2.0694395411e+07,2.0718162579e+07
write,151,2.8821032596e+02,2.8786370802e+02,2.0694263012e+07,2.0719181063e+07
write,152,2.8820692897e+02,2.8787799001e+02,2.0694506927e+07,2.0718153159e+07
write,153,2.8820728111e+02,2.8786409307e+02,2.0694481642e+07,2.0719153349e+07
write,154,2.8820777702e+02,2.8787524009e+02,2.0694446033e+07,2.0718351068e+07
write,155,2.8820862794e+02,2.8786793900e+02,2.0694384934e+07,2.0718876540e+07
write,156,2.8820710492e+02,2.8787284398e+02,2.0694494293e+07,2.0718523517e+07
write,157,2.8820851803e+02,2.8786823320e+02,2.0694392826e+07,2.0718855365e+07
write,158,2.8820739317e+02,2.8787289906e+02,2.0694473596e+07,2.0718519553e+07
write,159,2.8820728493e+02,2.8786782002e+02,2.0694481368e+07,2.0718885103e+07
write,160,2.8820769906e+02,2.8795552897e+02,2.0694451631e+07,2.0712574297e+07
write,161,2.8820772099e+02,2.8786955309e+02,2.0694450056e+07,2.0718760369e+07
write,162,2.8820962000e+02,2.8787253594e+02,2.0694313701e+07,2.0718545687e+07
write,163,2.8820881605e+02,2.8786023593e+02,2.0694371427e+07,2.0719430972e+07
write,164,2.8820945787e+02,2.8787373400e+02,2.0694325342e+07,2.0718459462e+07
write,165,2.8820852709e+02,2.8786836696e+02,2.0694392176e+07,2.0718845739e+07
write,166,2.8820971513e+02,2.8787237501e+02,2.0694306871e+07,2.0718557270e+07
write,167,2.8821005511e+02,2.8786242509e+02,2.0694282459e+07,2.0719273403e+07
write,168,2.8820817995e+02,2.8787294197e+02,2.0694417102e+07,2.0718516465e+07
write,169,2.8821039796e+02,2.8786405802e+02,2.0694257842e+07,2.0719155872e+07
write,170,2.8820992708e+02,2.8787404013e+02,2.0694291652e+07,2.0718437430e+07
write,171,2.8821027398e+02,2.8786020088e+02,2.0694266744e+07,2.0719433495e+07
write,172,2.8821039796e+02,2.8787796712e+02,2.0694257842e+07,2.0718154806e+07
write,173,2.8820921183e+02,2.8786246395e+02,2.0694343009e+07,2.0719270606e+07
write,174,2.8820993209e+02,2.8787259102e+02,2.0694291292e+07,2.0718541723e+07
write,175,2.8820921898e+02,2.8786279798e+02,2.0694342496e+07,2.0719246564e+07
write,176,2.8821017408e+02,2.8795553398e+02,2.0694273916e+07,2.0712573936e+07
write,177,2.8820921206e+02,2.8786589003e+02,2.0694342992e+07,2.0719024013e+07
write,178,2.8821048307e+02,2.8787262511e+02,2.0694251730e+07,2.0718539269e+07
write,179,2.8821002316e+02,2.8786091399e+02,2.0694284753e+07,2.0719382167e+07
write,180,2.8820981908e+02,2.8815177298e+02,2.0694299407e+07,2.0698468125e+07
write,181,2.8820819306e+02,2.8815860105e+02,2.0694416160e+07,2.0697977664e+07
write,182,2.8821031308e+02,2.8808912611e+02,2.0694263936e+07,2.0702969142e+07
write,183,2.8820789289e+02,2.8816162896e+02,2.0694437713e+07,2.0697760175e+07
write,184,2.8821000600e+02,2.8808844399e+02,2.0694285985e+07,2.0703018161e+07
write,185,2.8820785809e+02,2.8814400697e+02,2.0694440213e+07,2.0699025986e+07
write,186,2.8820929503e+02,2.8811154509e+02,2.0694337035e+07,2.0701358171e+07
write,187,2.8820710397e+02,2.8812198710e+02,2.0694494361e+07,2.0700607919e+07
write,188,2.8820703816e+02,2.8814544487e+02,2.0694499086e+07,2.0698922694e+07
write,189,2.8820987606e+02,2.8808910418e+02,2.0694295315e+07,2.0702970718e+07
write,190,2.8820703793e+02,2.8808847094e+02,2.0694499104e+07,2.0703016225e+07
write,191,2.8821039391e+02,2.8813695598e+02,2.0694258133e+07,2.0699532512e+07
write,192,2.8820723391e+02,2.8808910298e+02,2.0694485031e+07,2.0702970804e+07
write,193,2.8820843506e+02,2.8813907480e+02,2.0694398784e+07,2.0699380298e+07
write,194,2.8820982099e+02,2.8815176988e+02,2.0694299270e+07,2.0698468347e+07
write,195,2.8820897603e+02,2.8814069605e+02,2.0694359940e+07,2.0699263831e+07
write,196,2.8820721984e+02,2.8814708114e+02,2.0694486041e+07,2.0698805154e+07
write,197,2.8820988202e+02,2.8811977696e+02,2.0694294887e+07,2.0700766712e+07
write,198,2.8820803285e+02,2.8815713406e+02,2.0694427664e+07,2.0698083036e+07
write,199,2.8820880508e+02,2.8812880087e+02,2.0694372215e+07,2.0700118385e+07
write,200,2.8820842600e+02,2.8808842516e+02,2.0694399434e+07,2.0703019515e+07
write,201,2.8821020794e+02,2.8813695002e+02,2.0694271486e+07,2.0699532940e+07
write,202,2.8820897508e+02,2.8808782887e+02,2.0694360009e+07,2.0703062366e+07
write,203,2.8820819116e+02,2.8813692498e+02,2.0694416297e+07,2.0699534738e+07
write,204,2.8821012592e+02,2.8813842893e+02,2.0694277375e+07,2.0699426696e+07
write,205,2.8820936108e+02,2.8813698196e+02,2.0694332293e+07,2.0699530645e+07
write,206,2.8820774484e+02,2.8813799715e+02,2.0694448344e+07,2.0699457715e+07
write,207,2.8820910501e+02,2.8815087199e+02,2.0694350679e+07,2.0698532844e+07
write,208,2.8820943499e+02,2.8808840179e+02,2.0694326986e+07,2.0703021194e+07
write,209,2.8821000504e+02,2.8813696194e+02,2.0694286054e+07,2.0699532083e+07
write,210,2.8820862603e+02,2.8815177488e+02,2.0694385071e+07,2.0698467988e+07
write,211,2.8820784497e+02,2.8813696694e+02,2.0694441154e+07,2.0699531724e+07
write,212,2.8820849299e+02,2.8808843803e+02,2.0694394624e+07,2.0703018589e+07
write,213,2.8820876217e+02,2.8813696599e+02,2.0694375296e+07,2.0699531792e+07
write,214,2.8821059799e+02,2.8808841014e+02,2.0694243479e+07,2.0703020594e+07
