access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,9.2402254200e+02,8.7234818411e+02,6.0518779855e+05,6.4103666195e+05
write,1,9.2402255607e+02,7.8822234702e+02,6.0518778933e+05,7.0945358263e+05
write,2,9.2402252507e+02,8.3469653010e+02,6.0518780963e+05,6.6995266882e+05
write,3,9.2402255297e+02,8.3243869305e+02,6.0518779136e+05,6.7176979238e+05
write,4,9.2402254200e+02,7.8822254586e+02,6.0518779855e+05,7.0945340366e+05
write,5,9.2402253103e+02,7.9017156219e+02,6.0518780573e+05,7.0770348460e+05
write,6,9.2402253413e+02,6.2438935804e+02,6.0518780370e+05,8.9560650065e+05
write,7,9.2402255702e+02,8.4524933314e+02,6.0518778871e+05,6.6158841666e+05
write,8,9.2402252984e+02,7.8953094482e+02,6.0518780651e+05,7.0827770801e+05
write,9,9.2402254701e+02,6.2438936019e+02,6.0518779527e+05,8.9560649757e+05
write,10,9.2402254105e+02,6.2438839507e+02,6.0518779917e+05,8.9560788191e+05
write,11,9.2402255702e+02,7.8873772693e+02,6.0518778871e+05,7.0899000886e+05
write,12,9.2402254605e+02,6.2438942599e+02,6.0518779589e+05,8.9560640318e+05
write,13,9.2402255106e+02,7.8552322197e+02,6.0518779261e+05,7.1189132588e+05
write,14,9.2402252412e+02,6.2438940716e+02,6.0518781026e+05,8.9560643020e+05
write,15,9.2402255487e+02,7.6363011694e+02,6.0518779011e+05,7.3230109132e+05
write,16,9.2402253985e+02,6.2438938594e+02,6.0518779995e+05,8.9560646064e+05
write,17,9.2402315402e+02,8.9879844093e+02,6.0518739770e+05,6.2217193815e+05
write,18,9.2402254105e+02,8.9816280103e+02,6.0518779917e+05,6.2261225622e+05
write,19,9.2402255201e+02,7.6363005996e+02,6.0518779199e+05,7.3230114596e+05
write,20,9.2402254486e+02,6.2438940597e+02,6.0518779667e+05,8.9560643191e+05
write,21,9.2402251601e+02,7.3414927506e+02,6.0518781557e+05,7.6170771666e+05
write,22,9.2402250600e+02,6.2438940001e+02,6.0518782213e+05,8.9560644046e+05
write,23,9.2402253294e+02,8.6540482092e+02,6.0518780448e+05,6.4617986228e+05
write,24,9.2402250791e+02,6.7380001092e+02,6.0518782088e+05,8.2993048225e+05
write,25,9.2402254415e+02,6.2438945198e+02,6.0518779714e+05,8.9560636591e+05
write,26,9.2402251506e+02,8.7564077711e+02,6.0518781619e+05,6.3862622963e+05
write,27,9.2402255487e+02,6.7168107986e+02,6.0518779011e+05,8.3254863769e+05
write,28,9.2402251387e+02,6.2438943505e+02,6.0518781697e+05,8.9560639019e+05
write,29,9.2402251697e+02,6.6814427018e+02,6.0518781494e+05,8.3695571893e+05
write,30,9.2402250695e+02,6.2438938808e+02,6.0518782150e+05,8.9560645756e+05
write,31,9.2402254510e+02,8.4059954095e+02,6.0518779652e+05,6.6524800545e+05
write,32,9.2402251792e+02,6.4946239090e+02,6.0518781432e+05,8.6103087082e+05
write,33,9.2402254510e+02,6.2438943100e+02,6.0518779652e+05,8.9560639600e+05
write,34,9.2402252102e+02,6.4946235991e+02,6.0518781229e+05,8.6103091191e+05
write,35,9.2402254105e+02,6.2438837886e+02,6.0518779917e+05,8.9560790517e+05
write,36,9.2402251792e+02,9.0631095314e+02,6.0518781432e+05,6.1701468581e+05
write,37,9.2402252412e+02,8.6430547500e+02,6.0518781026e+05,6.4700176521e+05
write,38,9.2402249312e+02,7.6414721012e+02,6.0518783056e+05,7.3180554819e+05
write,39,9.2402251601e+02,8.6516060305e+02,6.0518781557e+05,6.4636226619e+05
write,40,9.2402249193e+02,8.6430330420e+02,6.0518783134e+05,6.4700339023e+05
write,41,9.2402253699e+02,7.5598373580e+02,6.0518780183e+05,7.3970793487e+05
write,42,9.2402251410e+02,7.5598378110e+02,6.0518781682e+05,7.3970789054e+05
write,43,9.2402254891e+02,8.6041226101e+02,6.0518779402e+05,6.4992933428e+05
write,44,9.2402249980e+02,6.5089034891e+02,6.0518782619e+05,8.5914189531e+05
write,45,9.2402252913e+02,8.1961867595e+02,6.0518780698e+05,6.8227723991e+05
write,46,9.2402251506e+02,6.5087396693e+02,6.0518781619e+05,8.5916351922e+05
write,47,9.2402254605e+02,8.3671516800e+02,6.0518779589e+05,6.6833635792e+05
write,48,9.2402252507e+02,5.7129052496e+02,6.0518780963e+05,9.7884901564e+05
write,49,9.2402254200e+02,8.3474363494e+02,6.0518779855e+05,6.6991486319e+05
write,50,9.2402252722e+02,5.7129050994e+02,6.0518780823e+05,9.7884904137e+05
write,51,9.2402254796e+02,8.3013850307e+02,6.0518779464e+05,6.7363116628e+05
write,52,9.2402251792e+02,5.7129052401e+02,6.0518781432e+05,9.7884901727e+05
write,53,9.2402251077e+02,7.7127083802e+02,6.0518781900e+05,7.2504643043e+05
write,54,9.2402249408e+02,5.7129051900e+02,6.0518782993e+05,9.7884902585e+05
write,55,9.2402254486e+02,7.2700800991e+02,6.0518779667e+05,7.6918983062e+05
write,56,9.2402253413e+02,6.5163560104e+02,6.0518780370e+05,8.5815932571e+05
write,57,9.2402253199e+02,5.7129050994e+02,6.0518780510e+05,9.7884904137e+05
write,58,9.2402253318e+02,8.0665648103e+02,6.0518780432e+05,6.9324077988e+05
write,59,9.2402254915e+02,7.6160809517e+02,6.0518779386e+05,7.3424530483e+05
write,60,9.2402253509e+02,4.6550392103e+02,6.0518780307e+05,1.2012942163e+06
write,61,9.2402254415e+02,7.6027666807e+02,6.0518779714e+05,7.3553114476e+05
write,62,9.2402249408e+02,4.6550387502e+02,6.0518782993e+05,1.2012943350e+06
write,63,9.2402254105e+02,5.7129051614e+02,6.0518779917e+05,9.7884903075e+05
write,64,9.2402251792e+02,6.3445215607e+02,6.0518781432e+05,8.8140163549e+05
write,65,9.2402255082e+02,4.6714058399e+02,6.0518779277e+05,1.1970853896e+06
write,66,9.2402250195e+02,7.2799955106e+02,6.0518782478e+05,7.6814218798e+05
write,67,9.2402254486e+02,6.3940543199e+02,6.0518779667e+05,8.7457368991e+05
write,68,9.2402253914e+02,4.6550389123e+02,6.0518780042e+05,1.2012942932e+06
write,69,9.2402254605e+02,6.3940547204e+02,6.0518779589e+05,8.7457363512e+05
write,70,9.2402252007e+02,4.6550379181e+02,6.0518781291e+05,1.2012945498e+06
write,71,9.2402331305e+02,9.0443135309e+02,6.0518729355e+05,6.1829697311e+05
write,72,9.2402248883e+02,9.0108476114e+02,6.0518783337e+05,6.2059330278e+05
write,73,9.2402251792e+02,8.7055258393e+02,6.0518781432e+05,6.4235886300e+05
write,74,9.2402328587e+02,5.7199621606e+02,6.0518731135e+05,9.7764137646e+05
write,75,9.2402252316e+02,8.6714389110e+02,6.0518781088e+05,6.4488393880e+05
write,76,9.2402250195e+02,5.7199628592e+02,6.0518782478e+05,9.7764125707e+05
write,77,9.2402251792e+02,7.9395179915e+02,6.0518781432e+05,7.0433390112e+05
write,78,9.2402248907e+02,5.7199077296e+02,6.0518783321e+05,9.7765067975e+05
write,79,9.2402252412e+02,7.0586015010e+02,6.0518781026e+05,7.9223507365e+05
write,80,9.2402250910e+02,5.7199626684e+02,6.0518782010e+05,9.7764128967e+05
write,81,9.2402252412e+02,8.5374505496e+02,6.0518781026e+05,6.5500486914e+05
write,82,9.2402250814e+02,8.5263123798e+02,6.0518782072e+05,6.5586052104e+05
write,83,9.2402252507e+02,6.9926715088e+02,6.0518780963e+05,7.9970461546e+05
write,84,9.2402251506e+02,5.7199633312e+02,6.0518781619e+05,9.7764117638e+05
write,85,9.2402249789e+02,6.4883762813e+02,6.0518782743e+05,8.6185995349e+05
write,86,9.2402248907e+02,5.7199634886e+02,6.0518783321e+05,9.7764114949e+05
write,87,9.2402250791e+02,6.4423774910e+02,6.0518782088e+05,8.6801366232e+05
write,88,9.2402248883e+02,6.0248432517e+02,6.0518783337e+05,9.2816882471e+05
write,89,9.2402250695e+02,5.7199096608e+02,6.0518782150e+05,9.7765034967e+05
write,90,9.2402249813e+02,5.7876596498e+02,6.0518782728e+05,9.6620603462e+05
write,91,9.2402251101e+02,5.7394216299e+02,6.0518781885e+05,9.7432669014e+05
write,92,9.2402249885e+02,5.7199088311e+02,6.0518782681e+05,9.7765049149e+05
write,93,9.2402249002e+02,5.7394216084e+02,6.0518783259e+05,9.7432669379e+05
write,94,9.2402247405e+02,5.7199636889e+02,6.0518784305e+05,9.7764111526e+05
write,95,9.2402252197e+02,6.1056740093e+02,6.0518781166e+05,9.1588114129e+05
write,96,9.2402250004e+02,5.7199090004e+02,6.0518782603e+05,9.7765046255e+05
write,97,9.2402251601e+02,5.7199622703e+02,6.0518781557e+05,9.7764135772e+05
write,98,9.2402249408e+02,5.7199097896e+02,6.0518782993e+05,9.7765032767e+05
write,99,9.2402252388e+02,6.6065094090e+02,6.0518781041e+05,8.4644875741e+05
write,100,9.2402250004e+02,5.7199090099e+02,6.0518782603e+05,9.7765046092e+05
write,101,9.2402249718e+02,6.5666113591e+02,6.0518782790e+05,8.5159169230e+05
write,102,9.2402249002e+02,5.7199635887e+02,6.0518783259e+05,9.7764113237e+05
write,103,9.2402252221e+02,7.7496581697e+02,6.0518781151e+05,7.2158946337e+05
write,104,9.2402247095e+02,6.4883482194e+02,6.0518784508e+05,8.6186368100e+05
write,105,9.2402251220e+02,5.7199099302e+02,6.0518781807e+05,9.7765030363e+05
write,106,9.2402249503e+02,9.0157050991e+02,6.0518782931e+05,6.2025893910e+05
write,107,9.2402252007e+02,8.5209814787e+02,6.0518781291e+05,6.5627084086e+05
write,108,9.2402252483e+02,8.3750541186e+02,6.0518780979e+05,6.6770573668e+05
write,109,9.2402255106e+02,9.0832217693e+02,6.0518779261e+05,6.1564848046e+05
write,110,9.2402252603e+02,6.1449879813e+02,6.0518780901e+05,9.1002158133e+05
write,111,9.2402253819e+02,8.7006845593e+02,6.0518780104e+05,6.4271628765e+05
write,112,9.2402251506e+02,8.2001908088e+02,6.0518781619e+05,6.8194409257e+05
write,113,9.2402253318e+02,6.1449875998e+02,6.0518780432e+05,9.1002163782e+05
write,114,9.2402252913e+02,8.7111079001e+02,6.0518780698e+05,6.4194724071e+05
write,115,9.2402255201e+02,8.0145186400e+02,6.0518779199e+05,6.9774267566e+05
write,116,9.2402253008e+02,6.1449695206e+02,6.0518780635e+05,9.1002431522e+05
write,117,9.2402251220e+02,7.9714738297e+02,6.0518781807e+05,7.0151038559e+05
