access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.8598659039e+00,4.8197290897e+00,1.1413779947e+06,1.1508829432e+06
write,1,4.8598718643e+00,4.8209729195e+00,1.1413765949e+06,1.1505860109e+06
write,2,4.8598639965e+00,4.8186180592e+00,1.1413784427e+06,1.1511483027e+06
write,3,4.8598611355e+00,4.8205919266e+00,1.1413791146e+06,1.1506769468e+06
write,4,4.8598589897e+00,4.8200690746e+00,1.1413796186e+06,1.1508017653e+06
write,5,4.8598251343e+00,4.8206620216e+00,1.1413875699e+06,1.1506602154e+06
write,6,4.8598620892e+00,4.8204660416e+00,1.1413788906e+06,1.1507069964e+06
write,7,4.8598399162e+00,4.8203649521e+00,1.1413840982e+06,1.1507311283e+06
write,8,4.8598620892e+00,4.8205571175e+00,1.1413788906e+06,1.1506852558e+06
write,9,4.8598480225e+00,4.8184618950e+00,1.1413821943e+06,1.1511856109e+06
write,10,4.8598628044e+00,4.8202130795e+00,1.1413787227e+06,1.1507673849e+06
write,11,4.8598620892e+00,4.8199980259e+00,1.1413788906e+06,1.1508187286e+06
write,12,4.8598651886e+00,4.8184320927e+00,1.1413781627e+06,1.1511927310e+06
write,13,4.8598718643e+00,4.8208761215e+00,1.1413765949e+06,1.1506091134e+06
write,14,4.8598639965e+00,4.8203408718e+00,1.1413784427e+06,1.1507368768e+06
write,15,4.8598239422e+00,4.8185880184e+00,1.1413878498e+06,1.1511554793e+06
write,16,4.8598489761e+00,4.8204720020e+00,1.1413819704e+06,1.1507055736e+06
write,17,4.8598439693e+00,4.8186099529e+00,1.1413831462e+06,1.1511502392e+06
write,18,4.8598439693e+00,4.8201029301e+00,1.1413831462e+06,1.1507936823e+06
write,19,4.8598649502e+00,4.8185539246e+00,1.1413782187e+06,1.1511636244e+06
write,20,4.8598661423e+00,4.8206498623e+00,1.1413779387e+06,1.1506631177e+06
write,21,4.8598442078e+00,4.8188769817e+00,1.1413830903e+06,1.1510864504e+06
write,22,4.8598577976e+00,4.8190429211e+00,1.1413798985e+06,1.1510468138e+06
write,23,4.8598508835e+00,4.8209679127e+00,1.1413815224e+06,1.1505872058e+06
write,24,4.8598449230e+00,4.8202321529e+00,1.1413829223e+06,1.1507628313e+06
write,25,4.8598489761e+00,4.8206481934e+00,1.1413819704e+06,1.1506635161e+06
write,26,4.8598530293e+00,4.8210101128e+00,1.1413810184e+06,1.1505771343e+06
write,27,4.8601980209e+00,4.8207118511e+00,1.1412999997e+06,1.1506483215e+06
write,28,4.8598661423e+00,4.8202459812e+00,1.1413779387e+06,1.1507595300e+06
write,29,4.8598639965e+00,4.8185820580e+00,1.1413784427e+06,1.1511569033e+06
write,30,4.8598608971e+00,4.8207228184e+00,1.1413791706e+06,1.1506457038e+06
write,31,4.8598489761e+00,4.8202428818e+00,1.1413819704e+06,1.1507602700e+06
write,32,4.8598558903e+00,4.8185250759e+00,1.1413803465e+06,1.1511705164e+06
write,33,4.8598661423e+00,4.8189809322e+00,1.1413779387e+06,1.1510616203e+06
write,34,4.8598451614e+00,4.8186130524e+00,1.1413828663e+06,1.1511494988e+06
write,35,4.8598580360e+00,4.8208420277e+00,1.1413798426e+06,1.1506172507e+06
write,36,4.8598549366e+00,4.8494517803e+00,1.1413805705e+06,1.1438290865e+06
write,37,4.8598649502e+00,4.8497850895e+00,1.1413782187e+06,1.1437504751e+06
write,38,4.8598608971e+00,4.8499901295e+00,1.1413791706e+06,1.1437021214e+06
write,39,4.8598771095e+00,4.8493030071e+00,1.1413753630e+06,1.1438641784e+06
write,40,4.8598628044e+00,4.8484349251e+00,1.1413787227e+06,1.1440689801e+06
write,41,4.8598699570e+00,4.8495090008e+00,1.1413770428e+06,1.1438155902e+06
write,42,4.8598690033e+00,4.8493790627e+00,1.1413772668e+06,1.1438462385e+06
write,43,4.8598780632e+00,4.8493871689e+00,1.1413751390e+06,1.1438443265e+06
write,44,4.8598589897e+00,4.8496060371e+00,1.1413796186e+06,1.1437927035e+06
write,45,4.8598749638e+00,4.8499660492e+00,1.1413758669e+06,1.1437078000e+06
write,46,4.8598639965e+00,4.8499228954e+00,1.1413784427e+06,1.1437179765e+06
write,47,4.8598499298e+00,4.8493788242e+00,1.1413817464e+06,1.1438462948e+06
write,48,4.8598618507e+00,4.8496348858e+00,1.1413789466e+06,1.1437858995e+06
write,49,4.8598611355e+00,4.8484349251e+00,1.1413791146e+06,1.1440689801e+06
write,50,4.8598670959e+00,4.8501379490e+00,1.1413777148e+06,1.1436672644e+06
write,51,4.8598499298e+00,4.8496718407e+00,1.1413817464e+06,1.1437771837e+06
write,52,4.8598608971e+00,4.8492591381e+00,1.1413791706e+06,1.1438745264e+06
write,53,4.8598711491e+00,4.8500378132e+00,1.1413767629e+06,1.1436908770e+06
write,54,4.8603501320e+00,4.8495550156e+00,1.1412642812e+06,1.1438047372e+06
write,55,4.8598330021e+00,4.8494670391e+00,1.1413857220e+06,1.1438254875e+06
write,56,4.8598668575e+00,4.8493170738e+00,1.1413777708e+06,1.1438608603e+06
write,57,4.8598570824e+00,4.8496849537e+00,1.1413800665e+06,1.1437740911e+06
write,58,4.8598539829e+00,4.8495888710e+00,1.1413807945e+06,1.1437967522e+06
write,59,4.8598611355e+00,4.8492779732e+00,1.1413791146e+06,1.1438700835e+06
write,60,4.8598639965e+00,4.8495278358e+00,1.1413784427e+06,1.1438111478e+06
write,61,4.8598330021e+00,4.8485448360e+00,1.1413857220e+06,1.1440430454e+06
write,62,4.8598649502e+00,4.8498599529e+00,1.1413782187e+06,1.1437328199e+06
write,63,4.8598339558e+00,4.8502609730e+00,1.1413854980e+06,1.1436382559e+06
write,64,4.8598499298e+00,4.8497281075e+00,1.1413817464e+06,1.1437639136e+06
write,65,4.8598761559e+00,4.8492078781e+00,1.1413755870e+06,1.1438866181e+06
write,66,4.8598699570e+00,4.8493781090e+00,1.1413770428e+06,1.1438464635e+06
write,67,4.8598380089e+00,4.8499538898e+00,1.1413845461e+06,1.1437106674e+06
write,68,4.8598470688e+00,4.8497369289e+00,1.1413824183e+06,1.1437618331e+06
write,69,4.8598668575e+00,4.8495988846e+00,1.1413777708e+06,1.1437943904e+06
write,70,4.8598527908e+00,4.8486118317e+00,1.1413810744e+06,1.1440272376e+06
write,71,4.8598458767e+00,4.8499760628e+00,1.1413826983e+06,1.1437054386e+06
write,72,4.8598530293e+00,4.8040778637e+00,1.1413810184e+06,1.1546324097e+06
write,73,4.8598308563e+00,4.8028030396e+00,1.1413862260e+06,1.1549388876e+06
write,74,4.8598411083e+00,4.8042299747e+00,1.1413838182e+06,1.1545958518e+06
write,75,4.8598570824e+00,4.8051538467e+00,1.1413800665e+06,1.1543738613e+06
write,76,4.8598160744e+00,4.8017330170e+00,1.1413896977e+06,1.1551962553e+06
write,77,4.8598310947e+00,4.8029570580e+00,1.1413861700e+06,1.1549018517e+06
write,78,4.8598160744e+00,4.8058891296e+00,1.1413896977e+06,1.1541972464e+06
write,79,4.8598301411e+00,4.8054289818e+00,1.1413863940e+06,1.1543077675e+06
write,80,4.8598279953e+00,4.8056368828e+00,1.1413868979e+06,1.1542578300e+06
write,81,4.8598699570e+00,4.8027570248e+00,1.1413770428e+06,1.1549499530e+06
write,82,4.8598570824e+00,4.8036019802e+00,1.1413800665e+06,1.1547467969e+06
write,83,4.8598270416e+00,4.8051540852e+00,1.1413871219e+06,1.1543738040e+06
write,84,4.8598489761e+00,4.8022460938e+00,1.1413819704e+06,1.1550728329e+06
write,85,4.8603889942e+00,4.8035991192e+00,1.1412551560e+06,1.1547474846e+06
write,86,4.8598451614e+00,4.8027200699e+00,1.1413828663e+06,1.1549588398e+06
write,87,4.8598670959e+00,4.8045392036e+00,1.1413777148e+06,1.1545215399e+06
write,88,4.8598461151e+00,4.8038270473e+00,1.1413826423e+06,1.1546926951e+06
write,89,4.8598630428e+00,4.8048069477e+00,1.1413786667e+06,1.1544572051e+06
write,90,4.8598601818e+00,4.8039538860e+00,1.1413793386e+06,1.1546622078e+06
write,91,4.8598690033e+00,4.8052020073e+00,1.1413772668e+06,1.1543622914e+06
write,92,4.8598580360e+00,4.8031740189e+00,1.1413798426e+06,1.1548496844e+06
write,93,4.8598711491e+00,4.8007800579e+00,1.1413767629e+06,1.1554255627e+06
write,94,4.8598470688e+00,4.8014600277e+00,1.1413824183e+06,1.1552619345e+06
write,95,4.8598680496e+00,4.8031120300e+00,1.1413774908e+06,1.1548645889e+06
write,96,4.8598530293e+00,4.8022251129e+00,1.1413810184e+06,1.1550778794e+06
write,97,4.8598539829e+00,4.8047120571e+00,1.1413807945e+06,1.1544800051e+06
write,98,4.8598599434e+00,4.8035521507e+00,1.1413793946e+06,1.1547587756e+06
write,99,4.8598599434e+00,4.8050031662e+00,1.1413793946e+06,1.1544100614e+06
write,100,4.8598430157e+00,4.8040199280e+00,1.1413833702e+06,1.1546463344e+06
write,101,4.8598628044e+00,4.8056058884e+00,1.1413787227e+06,1.1542652745e+06
write,102,4.8598592281e+00,4.8017280102e+00,1.1413795626e+06,1.1551974598e+06
write,103,4.8598577976e+00,4.8028459549e+00,1.1413798985e+06,1.1549285678e+06
write,104,4.8598489761e+00,4.8039059639e+00,1.1413819704e+06,1.1546737263e+06
write,105,4.8598518372e+00,4.8030731678e+00,1.1413812984e+06,1.1548739330e+06
write,106,4.8598530293e+00,4.8019230366e+00,1.1413810184e+06,1.1551505423e+06
write,107,4.8598690033e+00,4.8041200638e+00,1.1413772668e+06,1.1546222672e+06
