access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,71,2.2340416193e+02,2.2336215496e+02,2.6697355307e+07,2.6702376188e+07
read,72,2.2340741205e+02,2.2336219192e+02,2.6696966914e+07,2.6702371770e+07
read,73,2.2340345192e+02,2.2336219406e+02,2.6697440155e+07,2.6702371514e+07
read,74,2.2340394282e+02,2.2336212802e+02,2.6697381490e+07,2.6702379409e+07
read,75,2.2340328884e+02,2.2336220288e+02,2.6697459643e+07,2.6702370459e+07
read,76,2.2340373397e+02,2.2336218309e+02,2.6697406449e+07,2.6702372825e+07
read,77,2.2340933180e+02,2.2336222100e+02,2.6696737509e+07,2.6702368293e+07
read,78,2.2340538788e+02,2.2336209917e+02,2.6697208803e+07,2.6702382858e+07
read,79,2.2340479517e+02,2.2336218786e+02,2.6697279633e+07,2.6702372255e+07
read,80,2.2340961599e+02,2.2336216307e+02,2.6696703548e+07,2.6702375219e+07
read,81,2.2340397382e+02,2.2336212802e+02,2.6697377786e+07,2.6702379409e+07
read,82,2.2340881681e+02,2.2336209416e+02,2.6696799048e+07,2.6702383456e+07
read,83,2.2340452409e+02,2.2336213398e+02,2.6697312028e+07,2.6702378697e+07
read,84,2.2340611911e+02,2.2336213303e+02,2.6697121421e+07,2.6702378811e+07
read,85,2.2340328717e+02,2.2336222601e+02,2.6697459843e+07,2.6702367695e+07
read,86,2.2340763402e+02,2.2336216307e+02,2.6696940390e+07,2.6702375219e+07
read,87,2.2340826297e+02,2.2336219501e+02,2.6696865231e+07,2.6702371400e+07
read,88,2.2340805006e+02,2.2336219311e+02,2.6696890673e+07,2.6702371628e+07
read,89,2.2340349913e+02,2.2336219311e+02,2.6697434513e+07,2.6702371628e+07
read,90,2.2340814519e+02,2.2336217189e+02,2.6696879306e+07,2.6702374165e+07
read,91,2.2340329003e+02,2.2336220503e+02,2.6697459501e+07,2.6702370203e+07
read,92,2.2340407896e+02,2.2336216211e+02,2.6697365222e+07,2.6702375333e+07
read,93,2.2340510297e+02,2.2336216211e+02,2.6697242851e+07,2.6702375333e+07
read,94,2.2340579605e+02,2.2336221910e+02,2.6697160026e+07,2.6702368521e+07
read,95,2.2340404987e+02,2.2336222601e+02,2.6697368698e+07,2.6702367695e+07
read,96,2.2340579891e+02,2.2336216807e+02,2.6697159685e+07,2.6702374621e+07
read,97,2.2340692806e+02,2.2336213899e+02,2.6697024751e+07,2.6702378098e+07
read,98,2.2340470314e+02,2.2336219120e+02,2.6697290631e+07,2.6702371856e+07
read,99,2.2340428710e+02,2.2336218715e+02,2.6697340348e+07,2.6702372341e+07
read,100,2.2340421700e+02,2.2336208701e+02,2.6697348725e+07,2.6702384312e+07
read,101,2.2340622997e+02,2.2336215019e+02,2.6697108173e+07,2.6702376758e+07
read,102,2.2340807199e+02,2.2336213803e+02,2.6696888052e+07,2.6702378212e+07
read,103,2.2340663791e+02,2.2336220098e+02,2.6697059424e+07,2.6702370687e+07
read,104,2.2340532899e+02,2.2336220694e+02,2.6697215841e+07,2.6702369975e+07
read,105,2.2340359998e+02,2.2336213803e+02,2.6697422461e+07,2.6702378212e+07
read,106,2.2340377498e+02,2.2336216784e+02,2.6697401548e+07,2.6702374649e+07
read,107,2.2340341687e+02,2.2336213803e+02,2.6697444343e+07,2.6702378212e+07
read,108,2.2340414715e+02,2.2338410711e+02,2.6697357073e+07,2.6699752122e+07
read,109,2.2340460014e+02,2.2336212301e+02,2.6697302939e+07,2.6702380008e+07
read,110,2.2340374804e+02,2.2336210513e+02,2.6697404768e+07,2.6702382145e+07
read,111,2.2340750098e+02,2.2336216187e+02,2.6696956287e+07,2.6702375362e+07
read,112,2.2340831900e+02,2.2338408589e+02,2.6696858536e+07,2.6699754659e+07
read,113,2.2340327716e+02,2.2336216402e+02,2.6697461039e+07,2.6702375105e+07
read,114,2.2340429997e+02,2.2336209011e+02,2.6697338810e+07,2.6702383941e+07
read,115,2.2340328407e+02,2.2336211801e+02,2.6697460213e+07,2.6702380606e+07
read,116,2.2340414691e+02,2.2338409591e+02,2.6697357101e+07,2.6699753462e+07
read,117,2.2340350699e+02,2.2336217284e+02,2.6697433573e+07,2.6702374051e+07
