access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.9840973854e+01,3.9797977209e+01,1.4035981401e+07,1.4051145491e+07
read,1,3.9840947866e+01,3.9797990084e+01,1.4035990556e+07,1.4051140945e+07
read,2,3.9840932131e+01,3.9797981977e+01,1.4035996100e+07,1.4051143807e+07
read,3,3.9840931892e+01,3.9798053980e+01,1.4035996184e+07,1.4051118386e+07
read,4,3.9840930939e+01,3.9797980070e+01,1.4035996520e+07,1.4051144481e+07
read,5,3.9840931892e+01,3.9798051119e+01,1.4035996184e+07,1.4051119396e+07
read,6,3.9840929985e+01,3.9797978878e+01,1.4035996856e+07,1.4051144901e+07
read,7,3.9840932846e+01,3.9798057079e+01,1.4035995848e+07,1.4051117292e+07
read,8,3.9841732025e+01,3.9797980070e+01,1.4035714302e+07,1.4051144481e+07
read,9,3.9840943098e+01,3.9798053980e+01,1.4035992236e+07,1.4051118386e+07
read,10,3.9840955973e+01,3.9797981024e+01,1.4035987700e+07,1.4051144144e+07
read,11,3.9840976000e+01,3.9798057079e+01,1.4035980645e+07,1.4051117292e+07
read,12,3.9840932131e+01,3.9797978163e+01,1.4035996100e+07,1.4051145154e+07
read,13,3.9840933800e+01,3.9798057079e+01,1.4035995512e+07,1.4051117292e+07
read,14,3.9840928793e+01,3.9797975063e+01,1.4035997276e+07,1.4051146248e+07
read,15,3.9840933084e+01,3.9798002005e+01,1.4035995764e+07,1.4051136736e+07
read,16,3.9840986013e+01,3.9797976971e+01,1.4035977117e+07,1.4051145575e+07
read,17,3.9840943098e+01,3.9797991991e+01,1.4035992236e+07,1.4051140272e+07
read,18,3.9840951920e+01,3.9797987938e+01,1.4035989128e+07,1.4051141703e+07
read,19,3.9840978146e+01,3.9798007011e+01,1.4035979889e+07,1.4051134969e+07
read,20,3.9840935946e+01,3.9797986031e+01,1.4035994756e+07,1.4051142376e+07
read,21,3.9840946913e+01,3.9798084021e+01,1.4035990892e+07,1.4051107780e+07
read,22,3.9840940952e+01,3.9797985077e+01,1.4035992992e+07,1.4051142713e+07
read,23,3.9840929985e+01,3.9798088074e+01,1.4035996856e+07,1.4051106349e+07
read,24,3.9840981960e+01,3.9797982931e+01,1.4035978545e+07,1.4051143470e+07
read,25,3.9840970039e+01,3.9798083067e+01,1.4035982745e+07,1.4051108116e+07
read,26,3.9840956926e+01,3.9797982931e+01,1.4035987364e+07,1.4051143470e+07
read,27,3.9840974092e+01,3.9798083067e+01,1.4035981317e+07,1.4051108116e+07
read,28,3.9840923786e+01,3.9797981024e+01,1.4035999040e+07,1.4051144144e+07
read,29,3.9840920925e+01,3.9798105955e+01,1.4036000048e+07,1.4051100036e+07
read,30,3.9840919018e+01,3.9797979116e+01,1.4036000720e+07,1.4051144817e+07
read,31,3.9840919018e+01,3.9798112154e+01,1.4036000720e+07,1.4051097847e+07
read,32,3.9840978146e+01,3.9797982931e+01,1.4035979889e+07,1.4051143470e+07
read,33,3.9840934992e+01,3.9798010826e+01,1.4035995092e+07,1.4051133622e+07
read,34,3.9840923786e+01,3.9797988176e+01,1.4035999040e+07,1.4051141619e+07
read,35,3.9840919971e+01,3.9798089981e+01,1.4036000384e+07,1.4051105675e+07
read,36,3.9840927124e+01,3.9818418026e+01,1.4035997864e+07,1.4043932324e+07
read,37,3.9840930939e+01,3.9798098087e+01,1.4035996520e+07,1.4051102813e+07
read,38,3.9840929031e+01,3.9798008919e+01,1.4035997192e+07,1.4051134295e+07
read,39,3.9840928793e+01,3.9798032045e+01,1.4035997276e+07,1.4051126130e+07
read,40,3.9841704130e+01,3.9818441153e+01,1.4035724129e+07,1.4043924167e+07
read,41,3.9840933800e+01,3.9798079014e+01,1.4035995512e+07,1.4051109547e+07
read,42,3.9840949059e+01,3.9798000097e+01,1.4035990136e+07,1.4051137410e+07
read,43,3.9840970993e+01,3.9798089027e+01,1.4035982409e+07,1.4051106012e+07
read,44,3.9840928078e+01,3.9818456173e+01,1.4035997528e+07,1.4043918869e+07
read,45,3.9840929985e+01,3.9798069954e+01,1.4035996856e+07,1.4051112746e+07
read,46,3.9840922832e+01,3.9798053980e+01,1.4035999376e+07,1.4051118386e+07
read,47,3.9840926886e+01,3.9798075199e+01,1.4035997948e+07,1.4051110894e+07
read,48,3.9840979099e+01,3.9818407774e+01,1.4035979553e+07,1.4043935940e+07
read,49,3.9840941191e+01,3.9798024893e+01,1.4035992908e+07,1.4051128655e+07
read,50,3.9840944767e+01,3.9797995090e+01,1.4035991648e+07,1.4051139177e+07
read,51,3.9840971947e+01,3.9798101902e+01,1.4035982073e+07,1.4051101467e+07
read,52,3.9840928078e+01,3.9818475008e+01,1.4035997528e+07,1.4043912226e+07
read,53,3.9840945005e+01,3.9798105001e+01,1.4035991564e+07,1.4051100372e+07
read,54,3.9840940952e+01,3.9798079967e+01,1.4035992992e+07,1.4051109211e+07
read,55,3.9840929985e+01,3.9798091888e+01,1.4035996856e+07,1.4051105002e+07
read,56,3.9840979099e+01,3.9818488836e+01,1.4035979553e+07,1.4043907349e+07
read,57,3.9840966940e+01,3.9798053980e+01,1.4035983837e+07,1.4051118386e+07
read,58,3.9840953827e+01,3.9798043966e+01,1.4035988456e+07,1.4051121921e+07
read,59,3.9840975046e+01,3.9798055887e+01,1.4035980981e+07,1.4051117712e+07
read,60,3.9840951920e+01,3.9818393946e+01,1.4035989128e+07,1.4043940817e+07
read,61,3.9840955973e+01,3.9798105001e+01,1.4035987700e+07,1.4051100372e+07
read,62,3.9840919018e+01,3.9797996044e+01,1.4036000720e+07,1.4051138841e+07
read,63,3.9840951920e+01,3.9798030853e+01,1.4035989128e+07,1.4051126551e+07
