access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,2.8952407122e+01,2.0928330183e+01,2.0571386880e+07,2.8458609110e+07
write,1,2.8950941086e+01,2.0945142984e+01,2.0572428587e+07,2.8435765201e+07
write,2,2.8953027010e+01,2.0972221136e+01,2.0570946444e+07,2.8399050541e+07
write,3,2.8950983047e+01,2.0431149006e+01,2.0572398769e+07,2.9151134272e+07
write,4,2.8951941967e+01,2.0861814976e+01,2.0571717389e+07,2.8549345716e+07
write,5,2.8953111172e+01,2.0830035925e+01,2.0570886647e+07,2.8592901623e+07
write,6,2.8952911854e+01,2.0954877853e+01,2.0571028262e+07,2.8422554985e+07
write,7,2.8953008890e+01,2.0783523798e+01,2.0570959318e+07,2.8656890611e+07
write,8,2.8951915979e+01,2.0744924068e+01,2.0571735854e+07,2.8710212003e+07
write,9,2.8952292204e+01,2.0893706083e+01,2.0571468532e+07,2.8505769423e+07
write,10,2.8952865124e+01,2.0957563162e+01,2.0571061463e+07,2.8418913182e+07
write,11,2.8951337099e+01,2.0945453882e+01,2.0572147185e+07,2.8435343123e+07
write,12,2.8951987028e+01,2.0913375854e+01,2.0571685371e+07,2.8478958736e+07
write,13,2.8952625036e+01,2.0915812969e+01,2.0571232047e+07,2.8475640362e+07
write,14,2.8953045130e+01,2.0973256111e+01,2.0570933570e+07,2.8397649122e+07
write,15,2.8953182936e+01,2.0542030096e+01,2.0570835660e+07,2.8993783244e+07
write,16,2.8953262091e+01,2.0718142033e+01,2.0570779421e+07,2.8747325270e+07
write,17,2.8951994896e+01,2.0975841999e+01,2.0571679780e+07,2.8394148279e+07
write,18,2.8951076984e+01,2.0939910173e+01,2.0572332018e+07,2.8442871200e+07
write,19,2.8952024937e+01,2.0893661022e+01,2.0571658435e+07,2.8505830901e+07
write,20,2.8950376034e+01,2.0847700119e+01,2.0572830118e+07,2.8568674943e+07
write,21,2.8953191042e+01,2.0927185059e+01,2.0570829900e+07,2.8460166350e+07
write,22,2.8950501204e+01,2.0954897165e+01,2.0572741170e+07,2.8422528791e+07
write,23,2.8951920986e+01,2.0946216106e+01,2.0571732297e+07,2.8434308372e+07
write,24,2.8950351000e+01,2.0922468901e+01,2.0572847908e+07,2.8466581589e+07
write,25,2.8952531099e+01,2.0638972998e+01,2.0571298791e+07,2.8857597133e+07
write,26,2.8950347900e+01,2.0818171978e+01,2.0572850110e+07,2.8609196265e+07
write,27,2.8951303959e+01,2.0954948902e+01,2.0572170734e+07,2.8422458617e+07
