access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,71,7.0734920502e+00,7.0554230213e+00,7.9016858439e+06,7.9219221627e+06
read,72,7.0735261440e+00,7.0554358959e+00,7.9016477584e+06,7.9219077070e+06
read,73,7.0735311508e+00,7.0554268360e+00,7.9016421655e+06,7.9219178795e+06
read,74,7.0735180378e+00,7.0554349422e+00,7.9016568137e+06,7.9219087778e+06
read,75,7.0735208988e+00,7.0554268360e+00,7.9016536177e+06,7.9219178795e+06
read,76,7.0735321045e+00,7.0554349422e+00,7.9016411001e+06,7.9219087778e+06
read,77,7.0734930038e+00,7.0554258823e+00,7.9016847786e+06,7.9219189503e+06
read,78,7.0735249519e+00,7.0554349422e+00,7.9016490901e+06,7.9219087778e+06
read,79,7.0734958649e+00,7.0554277897e+00,7.9016815826e+06,7.9219168087e+06
read,80,7.0735280514e+00,7.0554358959e+00,7.9016456278e+06,7.9219077070e+06
read,81,7.0735321045e+00,7.0554258823e+00,7.9016411001e+06,7.9219189503e+06
read,82,7.0735139847e+00,7.0554349422e+00,7.9016613413e+06,7.9219087778e+06
read,83,7.0735011101e+00,7.0554249287e+00,7.9016757233e+06,7.9219200211e+06
read,84,7.0734820366e+00,7.0551440716e+00,7.9016970300e+06,7.9222353836e+06
read,85,7.0735018253e+00,7.0554249287e+00,7.9016749243e+06,7.9219200211e+06
read,86,7.0734832287e+00,7.0554349422e+00,7.9016956983e+06,7.9219087778e+06
read,87,7.0735299587e+00,7.0554258823e+00,7.9016434971e+06,7.9219189503e+06
read,88,7.0734810829e+00,7.0554339886e+00,7.9016980953e+06,7.9219098486e+06
read,89,7.0735130310e+00,7.0554268360e+00,7.9016624066e+06,7.9219178795e+06
read,90,7.0734920502e+00,7.0554339886e+00,7.9016858439e+06,7.9219098486e+06
read,91,7.0734939575e+00,7.0554268360e+00,7.9016837133e+06,7.9219178795e+06
read,92,7.0734989643e+00,7.0554349422e+00,7.9016781203e+06,7.9219087778e+06
read,93,7.0734910965e+00,7.0554277897e+00,7.9016869093e+06,7.9219168087e+06
read,94,7.0735058784e+00,7.0547409058e+00,7.9016703966e+06,7.9226881251e+06
read,95,7.0734899044e+00,7.0554258823e+00,7.9016882409e+06,7.9219189503e+06
read,96,7.0734729767e+00,7.0554311275e+00,7.9017071507e+06,7.9219130610e+06
read,97,7.0735089779e+00,7.0554239750e+00,7.9016669343e+06,7.9219210919e+06
read,98,7.0735208988e+00,7.0554320812e+00,7.9016536177e+06,7.9219119902e+06
read,99,7.0735068321e+00,7.0554249287e+00,7.9016693313e+06,7.9219200211e+06
read,100,7.0734729767e+00,7.0554320812e+00,7.9017071507e+06,7.9219119902e+06
