access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,2.8970549107e+02,2.8952631402e+02,2.0587460272e+07,2.0600201084e+07
write,1,2.8970541596e+02,2.8922896814e+02,2.0587465609e+07,2.0621379408e+07
write,2,2.8970612502e+02,2.8925814390e+02,2.0587415221e+07,2.0619299452e+07
write,3,2.8970638299e+02,2.8922213888e+02,2.0587396889e+07,2.0621866331e+07
write,4,2.8970891404e+02,2.8925849795e+02,2.0587217027e+07,2.0619274214e+07
write,5,2.8970791101e+02,2.8922651196e+02,2.0587288304e+07,2.0621554531e+07
write,6,2.8970682788e+02,2.8925850487e+02,2.0587365274e+07,2.0619273721e+07
write,7,2.8970881295e+02,2.8922581291e+02,2.0587224210e+07,2.0621604372e+07
write,8,2.8970636201e+02,2.8925825477e+02,2.0587398380e+07,2.0619291549e+07
write,9,2.8970730686e+02,2.8922898293e+02,2.0587331237e+07,2.0621378355e+07
write,10,2.8970763898e+02,2.8925794101e+02,2.0587307635e+07,2.0619313915e+07
write,11,2.8970831394e+02,2.8922237897e+02,2.0587259671e+07,2.0621849213e+07
write,12,2.8970660400e+02,2.8925825906e+02,2.0587381183e+07,2.0619291243e+07
write,13,2.8970905900e+02,2.8923084402e+02,2.0587206726e+07,2.0621245663e+07
write,14,2.8970729804e+02,2.8925804901e+02,2.0587331863e+07,2.0619306216e+07
write,15,2.8970638490e+02,2.8922244596e+02,2.0587396754e+07,2.0621844436e+07
write,16,2.8970751500e+02,2.8925851393e+02,2.0587316446e+07,2.0619273075e+07
write,17,2.8970833898e+02,2.8922220683e+02,2.0587257892e+07,2.0621861486e+07
write,18,2.8970694685e+02,2.8925824404e+02,2.0587356820e+07,2.0619292314e+07
write,19,2.8970664001e+02,2.8923151493e+02,2.0587378625e+07,2.0621197830e+07
write,20,2.8970853806e+02,2.8925837684e+02,2.0587243745e+07,2.0619282847e+07
write,21,2.8970761299e+02,2.8923159409e+02,2.0587309482e+07,2.0621192186e+07
write,22,2.8970868802e+02,2.8925834012e+02,2.0587233088e+07,2.0619285465e+07
write,23,2.8970661211e+02,2.8922806787e+02,2.0587380607e+07,2.0621443596e+07
write,24,2.8970553398e+02,2.8925830197e+02,2.0587457223e+07,2.0619288184e+07
write,25,2.8970685482e+02,2.8923098612e+02,2.0587363360e+07,2.0621235532e+07
write,26,2.8970550799e+02,2.8925802994e+02,2.0587459069e+07,2.0619307576e+07
write,27,2.8970528698e+02,2.8923130202e+02,2.0587474775e+07,2.0621213009e+07
write,28,2.8970553994e+02,2.8925827503e+02,2.0587456799e+07,2.0619290104e+07
write,29,2.8970575881e+02,2.8922441411e+02,2.0587441246e+07,2.0621704106e+07
write,30,2.8970888901e+02,2.8925770402e+02,2.0587218806e+07,2.0619330808e+07
write,31,2.8970635796e+02,2.8922259998e+02,2.0587398668e+07,2.0621833454e+07
write,32,2.8970527816e+02,2.8926901984e+02,2.0587475402e+07,2.0618524207e+07
write,33,2.8970821404e+02,2.8923094583e+02,2.0587266770e+07,2.0621238405e+07
write,34,2.8970587707e+02,2.8925825095e+02,2.0587432842e+07,2.0619291821e+07
write,35,2.8970897388e+02,2.8922825384e+02,2.0587212774e+07,2.0621430337e+07
write,36,2.8970621681e+02,2.8927388716e+02,2.0587408698e+07,2.0618177280e+07
write,37,2.8970546103e+02,2.8923174405e+02,2.0587462407e+07,2.0621181494e+07
write,38,2.8970526099e+02,2.8926794195e+02,2.0587476622e+07,2.0618601037e+07
write,39,2.8970642710e+02,2.8923063087e+02,2.0587393755e+07,2.0621260860e+07
write,40,2.8970699191e+02,2.8927432799e+02,2.0587353618e+07,2.0618145860e+07
write,41,2.8970662689e+02,2.8922852111e+02,2.0587379557e+07,2.0621411281e+07
write,42,2.8970553708e+02,2.8926850820e+02,2.0587457002e+07,2.0618560676e+07
write,43,2.8970707202e+02,2.8922842884e+02,2.0587347925e+07,2.0621417860e+07
write,44,2.8970613909e+02,2.8927199888e+02,2.0587414222e+07,2.0618311869e+07
write,45,2.8970863485e+02,2.8923013806e+02,2.0587236867e+07,2.0621295996e+07
write,46,2.8970867515e+02,2.8927589011e+02,2.0587234003e+07,2.0618034520e+07
write,47,2.8970580101e+02,2.8923172593e+02,2.0587438247e+07,2.0621182786e+07
write,48,2.8970677495e+02,2.8927450013e+02,2.0587369036e+07,2.0618133590e+07
write,49,2.8970613980e+02,2.8922265792e+02,2.0587414171e+07,2.0621829323e+07
write,50,2.8970821190e+02,2.8927137589e+02,2.0587266922e+07,2.0618356274e+07
write,51,2.8970850396e+02,2.8923147488e+02,2.0587246168e+07,2.0621200686e+07
write,52,2.8970787787e+02,2.8927618098e+02,2.0587290659e+07,2.0618013788e+07
write,53,2.8970770693e+02,2.8922816300e+02,2.0587302807e+07,2.0621436813e+07
